0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:53:27 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:53:27 +0530] "GET /inventory/service/ajax?ic=0&id=actions&menuid=610006 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:46 +0530] "GET /inventory/expenseEntry.do HTTP/1.1" 200 11939
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:46 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:46 +0530] "GET /inventory/js/validations/expenseentry.js?_=1688793143539 HTTP/1.1" 200 5180
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:46 +0530] "GET /inventory/service/ajax?ic=0&id=actions&menuid=610005 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:55 +0530] "GET /inventory/billPayments.do HTTP/1.1" 200 19345
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:55 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:55 +0530] "GET /inventory/service/screen?screencode=610002 HTTP/1.1" 200 37026
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:55 +0530] "GET /inventory/js/validations/billpayments.js?_=1688793143540 HTTP/1.1" 200 5508
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:55 +0530] "GET /inventory/service/ajax?ic=0&id=actions&menuid=610002 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/invoice.do HTTP/1.1" 200 39290
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch,config,custtype&configname=showmore HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/service/screen?screencode=310001 HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/js/validations/invoice.js?_=1688793143541 HTTP/1.1" 200 28543
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/service/ajax?ic=0&id=cardbanks HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:56:59 +0530] "GET /inventory/service/ajax?ic=0&id=actions&menuid=310001 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/ HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 200 204655
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/bootstrap.min.css HTTP/1.1" 200 162764
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/style.css HTTP/1.1" 200 639666
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/bootstrap-datepicker.css HTTP/1.1" 200 17190
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/custom_style.css HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/searchFilter.min.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/xgrid.css HTTP/1.1" 200 10954
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/css/demo/ui.jqgrid-bootstrap.css HTTP/1.1" 200 20818
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/chartjs/Chart.min.js HTTP/1.1" 200 168654
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/jvectormap/jquery-jvectormap.min.js HTTP/1.1" 200 57116
0:0:0:0:0:0:0:1 - admin [08/Jul/2023:10:58:16 +0530] "GET /inventory/assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 200 405262
