0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:20 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688448500548&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows=&filters= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:21 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688448501059&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows=&filters= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:21 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688448501667&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows=&filters= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:22 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688448502611&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows=&filters= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:32 +0530] "GET /inventory/service/manufacturer?&code=200&code=Edit HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:10:58:36 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688448516986&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows=&filters= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:29 +0530] "GET /inventory/ HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:29 +0530] "GET /inventory/service/ajax?ic=0&id=usermenu&login_id=admin HTTP/1.1" 200 5596
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:33 +0530] "GET /inventory/manufacturer.do HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:33 +0530] "GET /inventory/service/screen?screencode=110001 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:33 +0530] "GET /inventory/service/report/metadata?id=11undefined HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:33 +0530] "GET /inventory/service/report/data?id=11undefined&_search=false&nd=1688449353106&rows=25&page=1&sidx=a.mm_name&sord=asc&totalrows= HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:12:33 +0530] "GET /inventory/service/ajax?ic=0&id=actions&menuid=110001 HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:15:16 +0530] "GET /inventory/ HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:15:16 +0530] "GET /inventory/service/ajax?ic=0&id=usermenu&login_id=admin HTTP/1.1" 200 5596
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:15:19 +0530] "GET /inventory/manufacturer.do HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:15:19 +0530] "GET /inventory/service/screen?screencode=110001 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - admin [04/Jul/2023:11:15:19 +0530] "GET /inventory/service/report/metadata?id=11undefined HTTP/1.1" 200 873
